asset,titulo_noticia,subtitulo,fonte,data
PETR4,Presidente da Petrobras indica Fernando Melgarejo como CFO e mais 2 novas diretoras,"Os atuais diretores permanecem em suas posições até que seja concluído o processo de governança interna necessário à aprovação dos novos nomes, aponta a Petrobras",https://www.infomoney.com.br/mercados/presidente-da-petrobras-indica-fernando-melgarejo-como-cfo-e-mais-2-novas-diretoras/,2024-06-14
PETR4,Ativa: o que a indicação de diretor financeiro diz sobre a Petrobras (PETR4)?,"A CEO da estatal, Magda Chambriard, indicou nesta sexta-feira (14) Fernando Melgarejo para o cargo",https://einvestidor.estadao.com.br/ultimas/ativa-petrobras-petr4-indicacao-diretor-financeiro/,2024-06-14
PETR4,Petrobras (PETR4) cai em meio a anúncio de nova diretoria,NA,https://www.moneytimes.com.br/petrobras-petr4-cai-em-meio-a-anuncio-de-nova-diretoria/,2024-06-14
PETR4,Petrobras (PETR4) anuncia indicação de três novos diretores,NA,https://br.investing.com/news/stock-market-news/petrobras-petr4-anuncia-indicacao-de-tres-novos-diretores-1259290,2024-06-14
PETR4,Petrobras (PETR3;PETR4) eleva valor a ser pago por ação em proventos,Primeira parcela será paga em 20 de agosto na forma de JCP. Veja quem recebe,https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2024/06/11/petrobras-petr3petr4-eleva-valor-a-ser-pago-por-acao-em-proventos.ghtml,2024-06-11
PETR4,Petrobras (PETR4) ajusta valor de ação para dividendos e JCP,NA,https://euqueroinvestir.com/acoes/petrobras-petr4-ajusta-valor-de-acao-para-dividendos-e-jcp,2024-06-11
PETR4,"Petrobras (PETR4) guia ganhos do Ibovespa, mas clima é de cautela antes de Fed","A inflação no Brasil também ocupará as atenções nesta semana, com a divulgação do IPCA de maio na terça-feira",https://www.infomoney.com.br/mercados/petrobras-petr4-guia-ganhos-do-ibovespa-mas-clima-e-de-cautela-antes-de-fed/,2024-06-10
PETR4,Ibovespa oscila com grandes bancos em queda; Vale (VALE3) e Petrobras (PETR4) sobem,NA,https://www.suno.com.br/noticias/abertura-ibovespa-100624-go/,2024-06-10
PETR4,"Petrobras (PETR4) não precisa convocar assembleia-geral, determina conselho de administração",Minoritários solicitaram que o evento fosse convocado em razão da eleição para membros e para a presidência do colegiado,https://www.spacemoney.com.br/investimentos/acoes/petrobras-petr4-nao-precisa-convocar-assembleia-geral/209371/,2024-06-10
PETR4,Petrobras (PETR4) irá retomar atividades em fábrica de fertilizantes no Paraná paralisada desde 2020,A empresa também poderá recontratar antigos funcionários. A recontratação está condicionada à homologação de acordo pelo Tribunal Superior do Trabalho (TST),https://inteligenciafinanceira.com.br/mercado-financeiro/negocios/petrobras-petr4-ira-retomar-atividades-em-fabrica-de-fertilizantes-no-parana-paralisada-desde-2020/,2024-06-06
PETR4,"Eletrobras vai captar R$ 10,9 bi e Petrobras avalia 'iniciativas verdes' com Sinosure",Confira os principais destaques do noticiário corporativo desta quinta-feira (6),https://www.infomoney.com.br/mercados/eletrobras-vai-captar-r-109-bi-e-petrobras-avalia-iniciativas-verdes-com-sinosure/,2024-06-06
PETR4,Vale (VALE3) e Petrobras (PETR4) surfam no corte de juros da Zona do Euro,Redução das taxas pelo Banco Central Europeu (BCE) alimenta expectativas pelo início de um afrouxamento das políticas monetárias globais,https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2024/06/06/vale-vale3-e-petrobras-petr4-surfam-no-corte-de-juros-da-zona-do-euro.ghtml,2024-06-06
PETR4,"Petrobras (PETR4), Vale (VALE3) e mais 9 ações que ganham com o dólar a R$ 5,40  e outras 6 que perdem",NA,https://www.moneytimes.com.br/petrobras-petr4-vale-vale3-e-mais-9-acoes-que-ganham-com-o-dolar-a-5-reais-e-mais-6-que-perdem-gll/,2024-06-14
PETR4,Petrobras (PETR4) se prepara para explorar novos poços do pré-sal em 2025,"O Macaé Energy 2024 contou com a participação da presidente da Petrobras, Magda Chambriard.",https://investidor10.com.br/noticias/petrobras-petr4-se-prepara-para-explorar-novos-pocos-do-pre-sal-em-2025-104948/,2024-06-13
PETR4,Petrobras (PETR4) irá perfurar novos poços do pré-sal em 2025 para garantir futuro da bacia de Campos,NA,https://www.suno.com.br/noticias/petrobras-petr4-novos-pocos-pre-sal-bacia-campos-evm/,2024-06-13
PETR4,Petrobras (PETR4): exploração na Margem Equatorial pode gerar 30 bilhões de barris de petróleo,"Estatal prevê investimentos de até US$ 3,1 bilhões para perfurar 16 poços na área e está aguardando autorização do Ibama",https://www.spacemoney.com.br/investimentos/acoes/petrobras-petr4-exploracao-margem-equatorial-gerar-30-bi-barris/209623/,2024-06-13
PETR4,PetroRecôncavo define pagamento de JCP e Petrobras recontratará trabalhadores da ANSA,Confira os principais destaques do noticiário corporativo desta quinta-feira (13),https://www.infomoney.com.br/mercados/petroreconcavo-define-pagamento-de-jcp-e-petrobras-recontratara-trabalhadores-da-ansa/,2024-06-13
VALE3,Vale (VALE3) entra na lista suja do trabalho escravo do governo,"Companhia disse que ""sua inclusão é incorreta"" e que já rescindiu contrato com prestadora de serviços inspecionada pelo Ministério do Trabalho",https://investidor10.com.br/noticias/vale-vale3-entra-na-lista-suja-do-trabalho-escravo-do-governo-104830/,2024-06-07
VALE3,"Apesar da queda de Vale (VALE3), cenário se mostra melhor do que no começo de 2024; veja por que","Nos primeiros meses de 2024, pessimismo com Vale era muito maior, com ruídos envolvendo mercado imobiliário chinês e preço dos metais básicos",https://www.empiricus.com.br/artigos/investimentos/apesar-da-queda-de-vale-vale3-cenario-se-mostra-melhor-do-que-no-comeco-de-2024-veja-por-que/,2024-06-07
VALE3,Ibovespa aumenta queda após dados de emprego nos EUA e perde os 121 mil pontos; Vale (VALE3) e Petrobras (PETR4) caem,NA,https://www.suno.com.br/noticias/ibovespa-abertura-070624-go/,2024-06-07
VALE3,Vale (VALE3) diz que foi incluída por engano em 'lista suja' de trabalho escravo do Ministério do Trabalho,"O caso, diz a companhia, está relacionado à Ouro Verde Locações e Serviços, que prestava serviços de transporte de produtos acabados em Minas Gerais",https://inteligenciafinanceira.com.br/mercado-financeiro/negocios/vale-vale3-lista-suja-de-trabalho-escravo/,2024-06-07
VALE3,"Governo quer que Vale (VALE3), Samarco e BHP desembolsem R$ 109 bilhões em dinheiro novo por desastre em Mariana","A proposta original dos governos era de R$ 126 bilhões, mas as autoridades concordaram em reduzir o valor para destravar as negociações com as mineradoras",https://www.seudinheiro.com/2024/empresas/governo-quer-que-vale-vale3-samarco-e-bhp-desembolsem-r-109-bilhoes-em-dinheiro-novo-por-desastre-em-mariana-miql/,2024-07-06
VALE3,Ibovespa opera em alta após decisão de juros na Europa; Vale (VALE3) e Petrobras (PETR4) sobem,NA,https://www.suno.com.br/noticias/ibovespa-abertura-060624/,2024-07-06
VALE3,"Vale (VALE3) 'está barata' e é a preferida do Santander, mas outras duas ações chamam a atenção do banco",Os papéis da mineradora estão negociados 30% abaixo da média dos seus pares; confira as companhias que tiveram as recomendações elevadas,https://www.seudinheiro.com/2024/bolsa-dolar/vale-vale3-esta-barata-e-e-a-preferida-do-santander-mas-outras-duas-acoes-chamam-a-atencao-do-banco-lils/,2024-07-06
VALE3,Ibovespa cai antes da decisão de juros do Fed; Vale (VALE3) sobe. Entenda,NA,https://bmcnews.com.br/2024/06/15/ibovespa-cai-antes-da-decisao-de-juros-do-fed-vale-vale3-sobe-entenda/,2024-06-15
VALE3,"VALE (VALE3): O EVENTO QUE PODE REDUZIR RISCO PARA A MINERADORA, SEGUNDO BBI","Nesta semana, a Vale (VALE3) confirmou a apresentação de uma nova proposta, junto com a BHP e Samarco, para reparação pelo rompimento da barragem de Mariana (MG).",https://economiaempauta.com/vale-vale3-o-evento-que-pode-reduzir-risco-para-a-mineradora-segundo-bbi/,2024-06-14
VALE3,Vale (VALE3) afirma que procura parceiros para plataforma de energia,NA,https://www.msn.com/pt-br/dinheiro/economia-e-negocios/vale-vale3-afirma-que-procura-parceiros-para-plataforma-de-energia/ar-BB1oenme,2024-06-14
VALE3,Vale (VALE3): CEO faz estimativa para vendas de minério de ferro e destaca transição energética,NA,"https://www.terra.com.br/amp/economia/vale-vale3-ceo-faz-estimativa-para-vendas-de-minerio-de-ferro-e-destaca-transicao-energetica,b187b32f3d8ef71ce6bc30f50dea50aedq813lhf.html",2024-06-13
VALE3,"VALE (VALE3): GOVERNO FEDERAL PODE CHEGAR A ACORDO SOBRE FERROVIAS ESTE MÊS, DIZ MINISTRO","um potencial acordo entre o governo brasileiro e a mineradora Vale (VALE3) relacionado a concessões ferroviárias está 'maduro' e poderá ser assinado ainda neste mês, disse o ministro dos Transportes,",https://economiaempauta.com/vale-vale3-governo-federal-pode-chegar-a-acordo-sobre-ferrovias-este-mes-diz-ministro/,2024-06-12
VALE3,Vale Indonesia diz que Febriany Eddy foi renomeada como CEO,Acionistas votaram por recondução nesta segunda-feira (10),https://www.infomoney.com.br/business/vale-indonesia-diz-que-febriany-eddy-foi-renomeada-como-ceo/,2024-06-10
VALE3,"O dólar já subiu 10% em 2024: essas são as 5 ações para lucrar com o real fraco, segundo o BTG Pactual",VALE3,NA,2024-06-13
VALE3,"'Mercado errou 100% dos anos', diz CFO da Vale (VALE3) sobre projeções para o minério de ferro","Gustavo Pimenta, CFO e RI da Vale (VALE3), acredita que demanda ainda será sustentada por China e outras economias emergentes",https://inteligenciafinanceira.com.br/mercado-financeiro/acoes/mercado-errou-100-por-cento-preco-minerio-de-ferro/,2024-06-07
